,epochs,precision,recall,fscore,support
0,0,0.9140876923947744,0.9118988968975985,0.9124434328361064,1000.0
1,1,0.9381598745589942,0.9369803782762206,0.9372237483760522,1000.0
2,2,0.9547440098087548,0.9538880531647955,0.9541098948566745,1000.0
3,3,0.963525591842045,0.9626413297158004,0.9629806533950726,1000.0
4,4,0.9692781810184934,0.968569676031169,0.96886182829507,1000.0
5,5,0.9737376774258161,0.9736258375170685,0.9736112667806017,1000.0
6,6,0.9757101107943074,0.9749249770178071,0.975251867689394,1000.0
7,7,0.9769824745630371,0.9766394128282945,0.9767533456019418,1000.0
8,8,0.9782341503298279,0.9785513269751311,0.9783239618755468,1000.0
9,9,0.9809035934934762,0.9806821037757093,0.9807698723973282,1000.0
10,10,0.9802141638110211,0.9800037342941522,0.9801009934628533,1000.0
11,11,0.980077272099283,0.9793795042458442,0.9796695309026212,1000.0
12,12,0.9821811999862723,0.9820704245894072,0.98210629829436,1000.0
13,13,0.9827342578462863,0.9827867614729465,0.9827354674977096,1000.0
14,14,0.983510710658247,0.9830706822464496,0.9832475060625869,1000.0
15,15,0.9817168647885482,0.9817011177362758,0.9816394555163583,1000.0
16,16,0.9818044326441029,0.9817043275313628,0.9817072212519825,1000.0
17,17,0.9846980309415487,0.9843538856971618,0.9845082633294169,1000.0
18,18,0.9838981397825901,0.9833521490839697,0.9835854420700952,1000.0
19,19,0.9837790389128808,0.9832406680815978,0.9834868366311701,1000.0
20,20,0.9844145243620254,0.9841984020793635,0.9842957414298287,1000.0
21,21,0.9853172650891763,0.9849548515881251,0.9851033371325226,1000.0
22,22,0.983685121105373,0.9834714853342599,0.9835614515828004,1000.0
23,23,0.9834857198272617,0.9832548041587632,0.9833413805713495,1000.0
24,24,0.9838251890208929,0.983467001007637,0.983605804961426,1000.0
25,25,0.9838753750232078,0.984078682056424,0.9839177022274823,1000.0
26,26,0.9848605848089294,0.9845489205620286,0.9846908495281526,1000.0
27,27,0.9837485249501707,0.9837104575864277,0.9837016585926062,1000.0
28,28,0.9826492550213821,0.9824273879814142,0.9824723581119927,1000.0
29,29,0.9846074009295476,0.9848089193129367,0.9846761296074525,1000.0
